"date";"txHash";"txNoteUser";"fromAddress";"fromTagsUser";"fromNoteUser";"fromTags";"toAddress";"toTagsUser";"toNoteUser";"toTags";"tokenName";"tokenAddress";"tokenSymbol";"value";"usdPrice";"usdValue"
"2022-09-11 23:32:16";"0xa891338d19dd84db19ff23fd2b03d52a2a3afb21e80853271b2645f8e546ede3";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0xc2172a6315c1d7f6855768f843c420ebb36eda97";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"100000,000000";"0,99995980716579";"99995,980716579"
"2022-09-11 23:31:38";"0x16b3f5a91534f896470daa94e0fe8b61cfe7f97226cd29314dec9056354ca624";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0xf9c2ba78ae44ba98888b0e9eb27eb63d576f261b";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"100000,000000";"0,99991825629383";"99991,825629383"
"2022-09-09 21:25:51";"0x7f260477d3cf89162c7f25cc3ded5aec0d1db54062b759ae012eda3ee57c9333";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"51542,386329";"0,99985903366216";"51535,120587556"
"2022-08-25 05:44:02";"0x2991f87692cdbd94322214b2266b58479a9a9e380cbc3f3caf402a912fa0e445";"";"0xdf5faa56443098af17baffc510da8dee34b0e75c";"";"";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"aWETH.io";"0xd8a27727da222a1e4751da06a0e42305b32e3870";"aWETH.io";"364593520,000000000000000000";"";""
"2022-08-24 04:05:57";"0x94dc08a6de180915f6b7e7ed2d4f7e1c1a1cc76990a6e4c6a66d262e57fede47";"";"0x9d551f41fed6fc27b719777c224dfecce170004d";"";"";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"forkSurvey.com";"0xa08891636ba65305420faa600fdcca2476bb4613";"forkSurvey.com";"5102,000000000000000000";"";""
"2022-08-21 03:30:14";"0x31124d8081674215c8a654f61febe028ad0358aadede4942bbac456b471fdc62";"";"0x9d551f41fed6fc27b719777c224dfecce170004d";"";"";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"Eth2Fork.com";"0x8eb3fecaaa963c86d9b49004d9f28092f1db3d6c";"Eth2Fork.com";"2888956,000000000000000000";"";""
"2022-08-12 17:17:42";"0x3d08916e0bd4174e0e70a828a650f0fdd26b63b8048513a3f0d1f974af7e1548";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0x8a595cff2a07fd63cb06b101102a75fe4173f384";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"70000,000000";"0,99996313451833";"69997,419416283"
"2022-08-12 17:15:48";"0x440af4138dd04a9c5378cf82c2a446e32575f586e0fc2a5bc268b52381e53bff";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0x117fc50b84b515efe3c82d8bbb2e1fa00751fea0";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"20000,000000";"0,99996313451833";"19999,262690367"
"2022-07-28 22:04:04";"0xa3f0f97c5d5c7f31942bc92137c79f2c61f57dba7a4f74f779a5972879255614";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0xda27bf313dcef0ee3916c9506a6ad45f306f9f3b";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"110000,000000";"0,99993400799571";"109992,74087953"
"2022-07-28 22:04:04";"0xa3f0f97c5d5c7f31942bc92137c79f2c61f57dba7a4f74f779a5972879255614";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0x68b6ba6385a5d395c1ff73c79c9cb2bd2d614dbc";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"110000,000000";"0,99993400799571";"109992,74087953"
"2022-07-27 12:01:15";"0x731e7bc9bd4cb3c456939707070a6025a18f4a4c2ebd96bfbeea8b710b0bc1df";"";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"";"";"Stablecoins";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"$ USDCNotice.com";"0x17a10104cbc1ed155d083ead9fcf5c3440bb50e8";"$ USDCNotice.com &lt;- Visit to secure your wallet!";"4214";"";""
"2022-07-24 19:40:38";"0x8edb97dbcc7e978a76935ba4bac425a8c014948baab3ea76a70e3a0f3c2dde71";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0xb396fca2d58421c550ce24ef4ecc2029233e0b31";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"50000,000000";"1,000384927299";"50019,246364949"
"2022-07-24 19:40:38";"0x8edb97dbcc7e978a76935ba4bac425a8c014948baab3ea76a70e3a0f3c2dde71";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0x568333b0c53805891ceef81ea05de933bcf0acea";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"50000,000000";"1,000384927299";"50019,246364949"
"2022-07-23 18:12:45";"0x554574b41f80ee6a5a35fd311c2c93785bc54eaa78ff0719bcf9c8e06a56fc9e";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"0x516fc698fb46506aa983a14f40b30c908d86dc82";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"2500,000000";"0,9997753773671";"2499,4384434178"
"2022-07-23 16:37:19";"0x59fbae7247caf9c2b6c575954fc71ce1e39a0e5fbb84c9bfa5172c636464ca47";"";"0xb396fca2d58421c550ce24ef4ecc2029233e0b31";"";"";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"Ethereum";"0x0000000000000000000000000000000000000000";"ETH";"0,02";"1528,82";"30,5764"
"2022-05-13 05:15:18";"0x7f10211a1f1aa9b064fdd82ba5f488c4847edc675bcd0faa0a0ce12f4f80cc29";"";"0x67fc2a0e4607dba112f76d3eb1968a6bfb584268";"";"";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"1439424,000000";"1,0012669375212";"1441247,6602746"
"2022-05-13 05:08:12";"0x0f3b624ab6f2e26a47be07f6a7a0ee9079f8fd2c041569dbf4be1fd356ccf151";"";"0x67fc2a0e4607dba112f76d3eb1968a6bfb584268";"";"";"";"0x61f874551c69f0e40c9f55219107b408c989adec";"";"";"";"USD Coin";"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48";"USDC";"100,000000";"1,0004795049892";"100,04795049892"
